model,rows_train,rows_test,accuracy,precision_w,recall_w,f1,roc_auc,train_time_sec
LogisticRegression,80062,19938,0.831577891463537,0.8322608674674463,0.831577891463537,0.8315063825352789,0.9115018356270438,28.733964681625366
DecisionTree,80062,19938,0.9580700170528639,0.9581166028117496,0.9580700170528639,0.9580682309771376,0.9538264297752573,11.79969573020935
RandomForest,80062,19938,0.9703079546594443,0.9708397331108797,0.9703079546594442,0.9702979119468169,0.9900071480222411,56.066065073013306
GBTClassifier,80062,19938,0.9718126191192697,0.9724743856953938,0.9718126191192697,0.9718009980285023,0.9902887893760689,68.4155626296997
